id,job_title_tag_name
216,"PHP Developer"
217,"Big Data Lead"
218,"Database Administrator"
220,"QA Engineer"
221,"Business Development Manager"
222,"UX Designer"
223,"Azure Database Lead"
224,"Marketing Automation Manager"
225,"Engineering Manager"
226,"DevOps Engineer"
227,"Data Infrastructure Engineer"
228,"Head of Engineering"
229,"Test Automation Engineer"
230,"Analytics Manager"
231,"Director of Analytics and Data Science"
232,"Data Quality Specialist"
233,"QA Developer"
234,"Product Analyst"
235,"Python Developer"
236,"Site Realiability Engineer"
237,"Infrastructure Engineer"
238,"Site Reliability Engineer"
239,"Head of IT Infrastructure"
240,"Cloud & Infrastructure Engineer"
241,"System Analyst"
242,"Firmware Engineer"
243,"DevOps Manager"
244,"Information Security Manager"
245,"Head of Security"
246,"Blockchain Engineer"
247,"AWS Specialist"
248,"AWS Cloud Engineer"
249,"Node Developer"
250,"Platform Engineer"
251,"Social Media Specialist"
252,"HTML/CSS Specialist"
253,"Website Administrator"
256,"ETL Developer"
517,"Banking Officer"
518,Analyst
519,"Credit Manager"
520,"Finance Officer"
521,"Risk Officer"
522,"Corporate Officer"
523,"Accounts Clerk"
524,"Product Officer"
525,"Sales Executive"
526,"Technical Engineer"
