title,job_title_tag_name,location,salary,category_name,seniority_name,date_crawled
"Senior User Experience Designer","UX/UI Designer","Atlanta Metropolitan Area","$110,000 - $140,000","Marketing & Commercial",Senior,2022-05-21
"Software Engineer","Software Engineer","Atlanta Metropolitan Area","$100,000 - $110,000","Platform Specific Development",Junior,2022-05-23
"Full Stack Engineer","Full Stack Engineer","Atlanta Metropolitan Area","$61 - $66","Platform Specific Development",N/A,2022-05-23
"Remote - IT Support Specialist","Actuary Specialist","Atlanta Metropolitan Area","$25 - $30","Compliance & Legal",N/A,2022-05-24
"Business Analyst","Business Analyst","Atlanta Metropolitan Area","$90,000 - $135,000","Investment Management",N/A,2022-05-26
"Full Stack Engineer","Full Stack Engineer","Atlanta Metropolitan Area","$85,000 - $120,000","Platform Specific Development",Intermediate,2022-05-29
"Strategic Account Executive","Accounts Executive","Atlanta Metropolitan Area","$125,000 - $135,000",Accountancy,N/A,2022-06-01
"Client Service Coordinator",NULL,"Atlanta Metropolitan Area","$35,000 - $40,000",NULL,N/A,2022-06-02
"Customer Service Representative - 100% remote","Customer operations manager","Atlanta Metropolitan Area","$18 - $20","Operations & HR",Intermediate,2022-06-03
"Software Engineer","Software Engineer","Atlanta Metropolitan Area","$80,000 - $150,000","Platform Specific Development",N/A,2022-06-07
"Junior Software Engineer","Software Engineer","Atlanta Metropolitan Area","$33 - $36","Platform Specific Development",Junior,2022-06-08
"Growth Marketing Analyst",Analyst,"Atlanta Metropolitan Area","$18 - $20",Finance,N/A,2022-06-08
"Backend Developer, Ruby on Rails","Ruby on Rails Developer","Atlanta Metropolitan Area","$115,000 - $125,000","Platform Specific Development",N/A,2022-06-09
"Sharepoint Developer","Sharepoint Developer","Atlanta Metropolitan Area","$85,000 - $100,000","Platform Specific Development",N/A,2022-06-14
"Experienced M&A Attorneys","M&A Specialist","Atlanta Metropolitan Area","$150,000 - $350,000","Investment Management",Expert,2022-06-15
"Data Analyst (Excel & Power BI)","Data Analyst","Atlanta Metropolitan Area","$50 - $59","Data Engineering",Senior,2022-06-15
"Senior Project Manager","Brand Manager","Atlanta Metropolitan Area","$60 - $65","Marketing & Commercial",Senior,2022-06-16
"Senior Quality Analyst",Analyst,"Atlanta Metropolitan Area","$40 - $50",Finance,Expert,2022-06-18
"Back End Developer","Back End Developer","Atlanta Metropolitan Area","$92 - $97","Bespoke Development",Senior,2022-06-22
"Full Stack Engineer","Full Stack Engineer","Atlanta Metropolitan Area","$90,000 - $110,000","Platform Specific Development",N/A,2022-06-22
"Ruby on Rails Developer (Remote)","Ruby on Rails Developer","Atlanta Metropolitan Area","$100,000 - $140,000","Platform Specific Development",Senior,2022-06-23
"Database Engineer","Data Engineer","Atlanta Metropolitan Area","$120,000 - $130,000","Data Engineering",N/A,2022-06-23
"Business Development Manager, Golf Car Accessories","Business Development","Atlanta Metropolitan Area","$100,000 - $120,000","Marketing & Commercial",Senior,2022-06-23
"Mobile Engineer","Core IP Networks Engineer","Atlanta Metropolitan Area","$125,000 - $150,000","Tech Ops",Senior,2022-06-25
"Senior Accountant (Remote)",Accountant,"Atlanta Metropolitan Area","$80,000 - $90,000",Accountancy,Expert,2022-06-28
"Business System Analyst","Business Analyst","Atlanta Metropolitan Area","$85 - $95","Investment Management",Intermediate,2022-07-05
"Territory Sales Representative - Southeast","Technical sales executive","Atlanta Metropolitan Area","$105,000 - $130,000","Marketing & Commercial",N/A,2022-07-05
"Sr. Analyst, BI & Data Insights",Analyst,"Atlanta Metropolitan Area","$75,000 - $85,000",Finance,Intermediate,2022-07-05
"Manager, BI & Data Insights","Account Manager","Atlanta Metropolitan Area","$95,000 - $110,000","Marketing & Commercial",Expert,2022-07-08
"Integration Engineer","Data Engineer","Atlanta Metropolitan Area","$110,000 - $125,000","Data Engineering",Intermediate,2022-07-09
"Senior Accountant","Senior Fund Accountant","Atlanta Metropolitan Area","$70,000 - $80,000",Accountancy,Senior,2022-07-09
"Linux Engineer","Core IP Networks Engineer","Atlanta Metropolitan Area","$62 - $68","Tech Ops",Senior,2022-07-10
"Backend Developer, Ruby on Rails","Ruby on Rails Developer","Atlanta Metropolitan Area","$115,000 - $125,000","Platform Specific Development",N/A,2022-07-13
"Software Engineer","Software Engineer","Atlanta, GA","$55 - $63","Platform Specific Development",Junior,2022-02-17
"Client Executive Service Desk","Chief Executive Officer (CEO)","Atlanta, GA","$90,000 - $120,000",C-Suite,Intermediate,2022-02-18
"Account Executive","Accounts Executive","Atlanta, GA","$65,000 - $70,000",Accountancy,Intermediate,2022-02-18
"Account Executive, Neurology","Accounts Executive","Atlanta, GA","$90,000 - $90,000",Accountancy,Intermediate,2022-03-01
"Data Scientist","Data Scientist","Atlanta, GA","$70,000 - $90,000","Data Engineering",Intermediate,2022-03-01
"Software Engineer","Software Engineer","Atlanta, GA","$120,000 - $125,000","Platform Specific Development",Expert,2022-03-10
"Full Stack Engineer","Full Stack Engineer","Atlanta, GA","$80 - $80","Platform Specific Development",Expert,2022-03-16
"Senior Business Analyst","Business Analyst","Atlanta, GA","$125 - $140","Investment Management",Senior,2022-03-17
"Sales Account Executive","Accounts Executive","Atlanta, GA","$60,000 - $80,000",Accountancy,Intermediate,2022-03-17
"Account Executive","Accounts Executive","Atlanta, GA","$100,000 - $100,000",Accountancy,N/A,2022-03-27
"Pricing Data Scientist","Data Scientist","Atlanta, GA","$100,000 - $115,000","Data Engineering",Intermediate,2022-04-02
"Remote Executive Assistant","Executive Assistant","Atlanta, GA","$2,500 - $3,500","Operations & HR",N/A,2022-04-02
"Remote Executive Assistant","Executive Assistant","Atlanta, GA","$2,500 - $3,500","Operations & HR",N/A,2022-04-10
"Advertising Account Executive","Accounts Executive","Atlanta, GA","$55,000 - $60,000",Accountancy,N/A,2022-04-10
"Senior Software Development Engineer (100% Remote)","Software Development Manager","Atlanta, GA","$120,000 - $160,000","Bespoke Development",Intermediate,2022-04-16
"Senior Software Engineer","Software Engineer","Atlanta, GA","$125,000 - $140,000","Platform Specific Development",Senior,2022-04-30
"Information Security Consultant","CIO (Information)","Atlanta, GA","$135,000 - $141,000",C-Suite,Expert,2022-05-08
"Salesforce Administrator","IT Administrator","Atlanta, GA","$70,000 - $100,000","Tech Ops",N/A,2022-05-18
"Full Stack Developer-Vue","Full Stack Developer","Atlanta, GA","$80 - $80","Bespoke Development",Expert,2022-05-18
"Sr. Tableau developer","BI Developer","Atlanta, GA","$65 - $67","Data Engineering",Expert,2022-05-18
"Full Stack Engineer","Full Stack Engineer","Atlanta, GA","$80 - $90","Platform Specific Development",Intermediate,2022-05-18
"EDI Analyst",Analyst,"Atlanta, GA","$55 - $60",Finance,Intermediate,2022-05-19
"Business Analyst III","Business Analyst","Atlanta, GA","$90 - $100","Investment Management",N/A,2022-05-19
"Executive Assistant","Executive Assistant","Atlanta, GA","$2,500 - $3,500","Operations & HR",Senior,2022-05-20
"Lead Teradata Developer","BI Developer","Atlanta, GA","$65 - $67","Data Engineering",Expert,2022-05-20
"Snowflake Developer","BI Developer","Atlanta, GA","$50 - $55","Data Engineering",N/A,2022-05-20
"Salesforce Developer","BI Developer","Atlanta, GA","$100,000 - $130,000","Data Engineering",N/A,2022-05-20
"Software Engineer","Software Engineer","Atlanta, GA","$60 - $80","Platform Specific Development",Junior,2022-05-21
"Mainframe Software Developer","Software Developer","Atlanta, GA","$70 - $75","Bespoke Development",Intermediate,2022-05-21
"Data Engineer","Data Engineer","Atlanta, GA","$75 - $75","Data Engineering",Expert,2022-05-21
"AWS Data Engineer","Data Engineer","Atlanta, GA","$65 - $65","Data Engineering",N/A,2022-05-21
"GTRI- (ESD) Data Analyst","Data Analyst","Atlanta, GA","$75 - $75","Data Engineering",Senior,2022-05-21
"DevOps Engineer","DevOps Engineer","Atlanta, GA","$110,000 - $120,000","Data Engineering",Intermediate,2022-05-22
"DevOps Engineer","DevOps Engineer","Atlanta, GA","$85,000 - $110,000","Data Engineering",N/A,2022-05-22
"Associate Technical Program Manager","Account Manager","Atlanta, GA","$75,000 - $85,000","Marketing & Commercial",Intermediate,2022-05-24
"Senior System Analyst","System Analyst","Atlanta, GA","$55 - $60","Tech Ops",Senior,2022-05-24
"Digital Marketing Manager- Hubspot exp required","Digital Marketing Manager","Atlanta, GA","$90,000 - $100,000","Marketing & Commercial",Senior,2022-05-23
"Email Marketing Manager","Marketing Manager","Atlanta, GA","$70,000 - $85,000","Marketing & Commercial",N/A,2022-05-23
"Recruiting Coordinator (VMS)",NULL,"Atlanta, GA","$40,000 - $50,000",NULL,Junior,2022-05-25
"Senior Accountant","Senior Fund Accountant","Atlanta, GA","$75,000 - $80,000",Accountancy,Expert,2022-05-25
"Java developer","NAV Developer","Atlanta, GA","$85,000 - $90,000","Platform Specific Development",Intermediate,2022-05-29
"Java Software Engineer","Software Engineer","Atlanta, GA","$110,000 - $120,000","Platform Specific Development",Senior,2022-06-02
"Application Support Specialist","Application Support","Atlanta, GA","$18 - $22","Tech Ops",Expert,2022-06-01
"Field Marketing Manager","Marketing Manager","Atlanta, GA","$95,000 - $100,000","Marketing & Commercial",N/A,2022-06-02
"VP of Marketing - Healthcare Startup!","Head of Data","Atlanta, GA","$170,000 - $190,000","Data Engineering",Senior,2022-06-02
"Solutions Consultant (Remote)","IT Consultant","Atlanta, GA","$80,000 - $120,000","Tech Ops",Intermediate,2022-06-02
"Data Scientist","Data Scientist","Atlanta, GA","$50 - $65","Data Engineering",N/A,2022-06-04
"Java Full Stack Developer","Full Stack Developer","Atlanta, GA","$120,000 - $130,000","Bespoke Development",N/A,2022-06-05
"Accounting Manager","Account Manager","Atlanta, GA","$65,000 - $90,000","Marketing & Commercial",Intermediate,2022-06-07
"Senior Salesforce Administrator","Fund Administrator","Atlanta, GA","$110,000 - $120,000",Accountancy,Senior,2022-06-07
"PowerBI Developer","Web Developer","Atlanta, GA","$60 - $65","Bespoke Development",N/A,2022-06-08
"Salesforce Administrator","IT Administrator","Atlanta, GA","$70,000 - $90,000","Tech Ops",N/A,2022-06-07
"Contract Litigation Attorney for Boutique Atlanta Firm",NULL,"Atlanta, GA","$50 - $100",NULL,N/A,2022-06-07
".NET Developer",".NET Developer","Atlanta, GA","$85,000 - $125,000","Platform Specific Development",Expert,2022-06-08
"Staff Accountant",Accountant,"Atlanta, GA","$50,000 - $50,000",Accountancy,Intermediate,2022-06-09
"Solutions Consultant (Remote)","IT Consultant","Atlanta, GA","$80,000 - $120,000","Tech Ops",Intermediate,2022-06-11
"Back End Developer","Back End Developer","Atlanta, GA","$150,000 - $180,000","Bespoke Development",Senior,2022-06-13
"Project Manager","Project Manager - IT","Atlanta, GA","$95,000 - $120,000","Tech Ops",Expert,2022-06-14
"LIMS Developer","Data and Reporting Developer","Atlanta, GA","$60 - $70","Data Engineering",N/A,2022-06-14
"Associate Launch Manager","Account Manager","Atlanta, GA","$50,000 - $75,000","Marketing & Commercial",N/A,2022-06-16
"Project Manager/BA (HR)","Brand Manager","Atlanta, GA","$75 - $75","Marketing & Commercial",Senior,2022-06-18
"Sharepoint Consultant","IT Consultant","Atlanta, GA","$65 - $70","Tech Ops",N/A,2022-06-19
"Senior Software Engineer","Software Engineer","Atlanta, GA","$130,000 - $145,000","Platform Specific Development",Senior,2022-06-19
"Senior Java Developer","BI Developer","Atlanta, GA","$130 - $150","Data Engineering",Intermediate,2022-06-19
"Data Governance Solution Architect (100% Remote)","Data Analyst","Atlanta, GA","$180,000 - $200,000","Data Engineering",N/A,2022-06-20
"Full Stack Engineer","Full Stack Engineer","Atlanta, GA","$80,000 - $95,000","Platform Specific Development",Intermediate,2022-06-21
"Security Analyst","Security Analyst","Atlanta, GA","$100 - $110",Security,Senior,2022-06-22
"Senior Backend Software Engineer","Software Engineer","Atlanta, GA","$90 - $100","Platform Specific Development",Intermediate,2022-06-23
"Director Of Business Development","Business Development","Atlanta, GA","$75,000 - $75,000","Marketing & Commercial",N/A,2022-06-23
"Inside Sales & Business Development Manager- (REMOTE)","Business Development","Atlanta, GA","$27 - $34","Marketing & Commercial",N/A,2022-06-23
"Data Engineer","Data Engineer","Atlanta, GA","$120,000 - $170,000","Data Engineering",N/A,2022-06-23
"DevOps Engineer","DevOps Engineer","Atlanta, GA","$150,000 - $170,000","Data Engineering",Expert,2022-06-24
"Python Developer","Python Developer","Atlanta, GA","$130,000 - $140,000","Platform Specific Development",Intermediate,2022-06-25
"Data Engineer","Data Engineer","Atlanta, GA","$110,000 - $120,000","Data Engineering",Expert,2022-06-25
"SRE Consultant","CRM Functional consultant","Atlanta, GA","$110,000 - $120,000","Tech Ops",Senior,2022-06-26
"Data Engineer","Data Engineer","Atlanta, GA","$65,000 - $75,000","Data Engineering",Intermediate,2022-06-27
"Managing Assistant",NULL,"Atlanta, GA","$52,000 - $55,000",NULL,N/A,2022-06-27
".Net Production Support Engineer","Application Support","Atlanta, GA","$95,000 - $110,000","Tech Ops",N/A,2022-06-28
"Senior Accountant","Senior Fund Accountant","Atlanta, GA","$75,000 - $80,000",Accountancy,Expert,2022-06-28
"Data Engineer - Remote","Data Engineer","Atlanta, GA","$90,000 - $120,000","Data Engineering",N/A,2022-06-29
"Data Scientist","Data Scientist","Atlanta, GA","$70 - $70","Data Engineering",Senior,2022-06-29
"Account Manager","Account Manager","Atlanta, GA","$28 - $31","Marketing & Commercial",N/A,2022-07-05
"Software Engineer","Software Engineer","Atlanta, GA","$125,000 - $160,000","Platform Specific Development",Intermediate,2022-07-06
"Data Analyst","Data Analyst","Atlanta, GA","$60,000 - $70,000","Data Engineering",Expert,2022-07-06
"Data Analyst","Data Analyst","Atlanta, GA","$60,000 - $70,000","Data Engineering",Expert,2022-07-09
"Azure Network Engineer (100% Remote)","Data Engineer","Atlanta, GA","$50 - $60","Data Engineering",N/A,2022-07-10
"Marketing Coordinator- Must work CST or PST time zone","Chief Marketing Officer (CMO)","Atlanta, GA","$35 - $40",C-Suite,Junior,2022-07-12
"Python Developer","Python Developer","Atlanta, GA","$90,000 - $95,000","Platform Specific Development",Intermediate,2022-07-13
"Java Software Engineer","Software Engineer","Atlanta, GA","$90,000 - $95,000","Platform Specific Development",Intermediate,2022-07-13
"Java Software Engineer","Software Engineer","Atlanta, GA","$120 - $130","Platform Specific Development",Expert,2022-07-13
"Security Analyst","Security Analyst","Atlanta, GA","$60 - $63",Security,Intermediate,2022-07-13
"Java Developer","QA Developer","Auburn, AL","$100,000 - $110,000",QA,Intermediate,2022-04-01
"Software Developer","Software Developer","Austin, Texas Metropolitan Area","$110,000 - $130,000","Bespoke Development",N/A,2022-02-20
